name,queryName,location,employment,headquarterAddress,lat,lng
AMR/American Airlines,American Airlines,Fort Worth,25000,"4255 Amon Carter Blvd, Fort Worth, TX 76155",32.825254,-97.050142
GameStop,GameStop,Grapevine,20000,"625 Westport Pkwy, Grapevine, TX 76051",32.90264,-97.0875
Lockheed Martin,Lockheed Martin,Fort Worth,13690,"1 Lockheed Boulevard, Fort Worth, TX 76108",32.766109,-97.444801
Texas Health Resources,Texas Health Resources,Arlington,12000,"612 E Lamar Blvd, Arlington, TX 76011",32.76317,-97.103408
NAS - Fort Worth - JRB,NAS - Fort Worth - JRB,Fort Worth,10000,"1510 Chennault Ave, Fort Worth, TX 76113",32.768891,-97.43622
Sabre,Sabre,Southlake,9100,"3150 Sabre Dr, Southlake, TX 76092",32.982609,-97.160882
First Cash Financial Services Inc.,First Cash Financial Services,Arlington,8600,"690 E Lamar Blvd #400, Arlington, TX 76011",32.763852,-97.101206
University of Texas at Arlington,University of Texas at Arlington,Arlington,7311,"701 S Nedderman Dr, Arlington, TX 76019",32.729212,-97.115197
DR Horton Inc.,DR Horton,Fort Worth,6230,"1341 horton circle, Arlington, TX 76011",32.760868,-97.090474
City of Fort Worth,City of Fort Worth,Fort Worth,6161,"1000 Throckmorton St, Fort Worth, TX 76102",32.750263,-97.330786
Cash America International Inc.,Cash America International,Fort Worth,6049,"1600 W 7th St, Fort Worth, TX 76102",32.751396,-97.344564
Alcon Laboratories Inc.,Alcon,Fort Worth,5393,"6201 South Fwy, Fort Worth, TX 76134",32.657963,-97.320933
Pier 1 Imports Inc.,Pier 1 Imports,Fort Worth,5000,"100 Pier 1 Pl, Fort Worth, TX 76102",32.753026,-97.343706
Bell Helicopter Textron,Textron,Fort Worth,4953,"3255 Bell Helicopter Blvd, Fort Worth, TX 76118",32.808117,-97.155983
Del Frisco's Restaurant Group Inc.,Del Frisco's,Southlake,4921,"920 S Kimball Ave #100, Southlake, TX 76092",32.927483,-97.115691
BNSF Railway,BNSF Railway,Fort Worth,4500,"2650 Lou Menk Dr, Fort Worth, TX 76131",32.862156,-97.320001
General Motors,General Motors,Arlington,4125,"2525 E Abram St, Arlington, TX 76010",32.736714,-97.065912
Basic Energy Services Inc.,Basic Energy Services,Fort Worth,3900,"801 Cherry St #2100, Fort Worth, TX 76102",32.750436,-97.334523
GM Financial,GM Financial,Fort Worth,3820,"801 Cherry St #3500, Fort Worth, TX 76102",32.750436,-97.334523
Fidelity,Fidelity,Westlake,3700,"1 Destiny Way, Westlake, TX 76262",32.981722,-97.190201
AZZ Inc.,AZZ Inc.,Fort Worth,3538,"3100 W 7th St #500, Fort Worth, TX 76107",32.7515,-97.362417
